Id, target
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft application virtualization\\client\\subsystems\\appvdllsurrogate64.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office 15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office 2003
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office 2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office 2016
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office2003
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office2007
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\live meeting 8
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office14
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\office16
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\client\\appvdllsurrogate32.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\client\\appvdllsurrogate64.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\live meeting 8
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office14
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\office16
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\updates
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\vfs
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\visio
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\visio10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\visio11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\visio12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\root\\visio13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\updates
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\vfs
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\visio
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\visio10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\visio11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\visio12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office\\visio13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft security client
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\mozilla firefox
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\opera
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\reader
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\sogouinput
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\tencent
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\ucbrowser
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\winrar
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\winzip
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge\\Application
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge Dev\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge Beta\\Application\\msedge.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge Dev\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\Edge Beta\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\Microsoft\\EdgeWebView\\Application\\*\\msedgewebview2.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\acrobat
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\acrobat dc
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\adobe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\firefox developer edition
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\foxit software
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\google
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\internet explorer
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft application virtualization\\client\\subsystems\\appvdllsurrogate32.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft application virtualization\\client\\subsystems\\appvdllsurrogate64.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office 15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office 2003
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office 2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office 2016
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office2003
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office2007
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\live meeting 8
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office14
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\office16
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\2010
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\client\\appvdllsurrogate32.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\client\\appvdllsurrogate64.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\live meeting 8
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office14
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office15
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\office16
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\updates
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\vfs
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\visio
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\visio10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\visio11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\visio12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\root\\visio13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\updates
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\vfs
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\visio
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\visio10
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\visio11
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\visio12
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft office\\visio13
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles(x86)%\\microsoft security client
